,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
162,月の椀,sakanaction,30278,https://open.spotify.com/track/5GVb3tUNjK3xirJfVi8p6v
163,DNA,BTS,30212,https://open.spotify.com/track/3uRLwBjI2TahxslcMTvpFs
164,"Heat Waves","Glass Animals",30212,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
165,"Feel My Rhythm","Red Velvet",30055,https://open.spotify.com/track/2oBMZYteeO8DyXV9gDx6Za
166,旅路,"Fujii Kaze",29993,https://open.spotify.com/track/7uSLJCDetmdm3tQcoYLyty
167,丸ノ内サディスティック,"Sheena Ringo",29985,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
168,まちがいさがし,"Masaki Suda",29944,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
169,愛を知るまでは,Aimyon,29937,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
170,ハルノヒ,Aimyon,29890,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
171,キセキ,GReeeeN,29883,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
172,春愁,"Mrs. GREEN APPLE",29876,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
173,永遠,Mr.Children,29789,https://open.spotify.com/track/7oCZ1O1L4TuLRnmt8Io4IU
174,さよならエレジー,"Masaki Suda",29699,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI
175,ホワイトキス,鈴木鈴木,29627,https://open.spotify.com/track/7sRYDTjWTX00fd9BCOflLo
176,"GILA GILA",Awich,29625,https://open.spotify.com/track/7AsWduh1mkB8uKOox5NH0X
177,燃えよ,"Fujii Kaze",29607,https://open.spotify.com/track/3nPRJP6hLZx32covZfpB6p
178,DARARI,TREASURE,29410,https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
179,TOMBOY,(G)I-DLE,29344,https://open.spotify.com/track/0IGUXY4JbK18bu9oD4mPIm
180,Romance,YOASOBI,29344,https://open.spotify.com/track/0dSPApaBoWn6SA4GKWq9QK
181,abcdefu,GAYLE,29246,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
182,ヤングアダルト,"Macaroni Empitsu",29234,https://open.spotify.com/track/3IanNVIcOMlKFr329uhNcA
183,Euphoria,BTS,29114,https://open.spotify.com/track/5YMXGBD6vcYP7IolemyLtK
184,BADモード,"Hikaru Utada",29019,https://open.spotify.com/track/3TxjMrMGWFP0jkIy0tVvVn
185,Surges,Orangestar,28977,https://open.spotify.com/track/5XhxMq0dQNenKr6eDU79Ka
186,Happiness,Che'Nelle,28933,https://open.spotify.com/track/55JlyXw6KeFeVC9d9uCZ2K
187,愛唄,GReeeeN,28783,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
188,"Step Back","GOT the beat",28669,https://open.spotify.com/track/3LCwQoTrdQgHsGJE5gGVqx
189,MANIAC,"Stray Kids",28561,https://open.spotify.com/track/7BDHDiidJ8WV349p3HTxTV
190,アポトーシス,"Official HIGE DANdism",28554,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2
191,Lights,BTS,28481,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
192,"Wherever you are","ONE OK ROCK",28382,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
193,「いつも通り」のキセキ。,HIRAIDAI,28296,https://open.spotify.com/track/7dF2uMG6NuHH2xipdNAWBq
194,神っぽいな,PinocchioP,28154,https://open.spotify.com/track/5ALRT96oaGuX7VHySBLbQu
195,紅蓮華,LiSA,28152,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
196,"Tie Me Down (with Elley Duhé)",Gryffin,28105,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs
197,プロローグ,Uru,28079,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6
198,ただ君に晴れ,ヨルシカ,27897,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
199,Yesterday,"Official HIGE DANdism",27807,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
200,"Light Switch","Charlie Puth",27784,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
